Model,Accuracy,Precision,Recall,F1-Score,ROC-AUC,CV Mean
Logistic Regression,0.6765,0.561,0.3833,0.4554,0.7004,0.7032
AdaBoost,0.6676,0.5443,0.3583,0.4322,0.6981,0.6845
Random Forest,0.65,0.5059,0.3583,0.4195,0.6684,0.6441
SVM,0.6735,0.5634,0.3333,0.4188,0.6674,0.6805
XGBoost,0.6676,0.5327,0.475,0.5022,0.642,0.5949
LightGBM,0.6412,0.49,0.4083,0.4455,0.6304,0.6114
KNN,0.6618,0.5269,0.4083,0.4601,0.6292,0.6202
Bagging,0.6441,0.4944,0.3667,0.4211,0.6161,0.6027
Decision Tree,0.5735,0.4046,0.4417,0.4223,0.5436,0.5551
